match_date,team_1,team_2,t1_points,t2_points,team_1_elo,team_2_elo
2016-02-27,FLIPSID3,G2,14,16,1452.987862220803,1441.4843180479586
2016-02-27,DIGNITAS,CLOUD9,13,16,1468.4961463997656,1494.1673731835353
2016-02-27,DIGNITAS,RENEGADES,9,16,1453.942989319075,1514.5531570806907
2016-02-28,CLOUD9,RENEGADES,2,0,1511.1050973541692,1497.6154329100568
2016-03-02,LUMINOSITY,NAVI,16,11,1526.0078881199863,1554.2060184828217
2016-03-02,FNATIC,LUMINOSITY,12,16,1659.4800969879593,1548.75341557264
2016-03-02,MOUSESPORTS,NAVI,6,16,1508.8403977129988,1568.7922728007677
2016-03-02,FNATIC,NIP,16,14,1668.1214552688793,1478.0925092959362
2016-03-02,NIP,NAVI,13,16,1466.1770205792777,1580.7077615174262
2016-03-02,MOUSESPORTS,LUMINOSITY,14,16,1494.6704168329807,1562.9233964526582
2016-03-02,LUMINOSITY,NIP,13,16,1542.5797525348778,1486.520664497058
2016-03-02,FNATIC,MOUSESPORTS,19,17,1676.7372452896752,1486.0546268121848
2016-03-02,MOUSESPORTS,NIP,16,8,1502.0760886278322,1470.4992026814107
2016-03-03,ENVY,E-FRAG.NET,19,22,1497.0917974784131,1470.6447192353278
2016-03-03,VIRTUS.PRO,FAZE,16,13,1410.655176646055,1494.2799523194965
2016-03-03,E-FRAG.NET,VIRTUS.PRO,9,16,1451.9092290203057,1429.390666861077
2016-03-03,FAZE,ASTRALIS,5,16,1481.3312040836033,1574.3069923133241
2016-03-03,ENVY,ASTRALIS,11,16,1484.5902783510055,1586.8085114407318
2016-03-03,E-FRAG.NET,ASTRALIS,5,16,1441.8271332437535,1596.890607217284
2016-03-03,ENVY,VIRTUS.PRO,14,16,1466.0694172026856,1447.911528009397
2016-03-03,VIRTUS.PRO,ASTRALIS,6,16,1438.3805653515246,1606.4215698751564
2016-03-03,ENVY,FAZE,16,12,1482.771796754874,1464.628824531415
2016-03-03,E-FRAG.NET,FAZE,5,16,1426.8756849572449,1479.5802728179235
2016-03-04,ASTRALIS,FNATIC,1,2,1593.616227732987,1689.5425874318446
2016-03-04,FNATIC,VIRTUS.PRO,2,0,1695.6433249711731,1432.2798278121961
2016-03-04,LUMINOSITY,NAVI,2,0,1560.3285973408388,1562.9589167114652
2016-03-05,LUMINOSITY,FNATIC,0,3,1550.2630089036118,1705.7089134084003
